id,creditPoint,lessonCode,lessonName
280,4.0,ENGL110017.19,高级英语
281,3.0,ENVI130026,水污染与控制
282,2.0,311.003.1,比较文学导论
283,3.0,PTSS110002.02,中国马克思主义概论
284,3.0,344.006.1,高分子材料的结构与性能
285,4.0,ENGL110003.29,大学英语III
286,2.0,116.007.1,艺术哲学
287,2.0,FINE119004.02,京剧表演艺术
288,2.0,314.088.1,当代旅游概览
289,2.0,FORE130235,日本经贸
290,4.0,PHYS120001.12,大学物理（上）
291,2.0,127.003.1,民商法概论
292,2.0,POLI110026.01,国际经营概论
293,11.0,212.019.2,日语I下
294,2.5,318.028.2,应用泛函分析(下)
295,3.0,CHIN130001.01,古代汉语
296,1.0,PEDU110091.25,乒乓球
297,2.0,ENGL110035.01,实用交际英语口语
298,1.0,SOCI130014.03,学年论文
299,1.0,358.034.1.01,天然药物化学II
300,2.0,ECON130025.02,经贸英语(下)
301,1.0,COMP110003.06,计算机网络与网页制作
302,2.0,PHIL119010.01,康德《实践理性批判》精读
303,2.0,361.026.1.01,操作系统II
304,1.0,322.044.1,生产实习
305,2.0,MECH130039.01,固体力学基础
306,2.0,PHIL130033,西方哲学原著导读
307,2.0,SOFT130044.01,形式化程序构造
308,5.0,124.003.1,FORTRAN77与数值计算
309,3.0,343.017.1,国别经营环境
310,2.0,FORE130250.01,经济贸易韩国语
311,1.0,PEDU110076.11,羽毛球
312,2.0,315.038.1,经济伦理学
313,1.0,PEDU110091.09,乒乓球
314,2.0,INFO130033.01,电信网络基础
315,2.0,212.099.2,法语写作II(下)
316,2.0,HIST130064.01,基督教会史
317,3.0,227.009.1,经济法原理
318,2.0,CHIN110008,大学语文
319,2.0,101.060.1,道德哲学专题
320,2.0,116.031.1,哲学与社会
321,2.0,104.038.1,中西美术
322,2.0,130.001.1.01,材料科学
323,3.0,341.007.1,投资学
324,3.0,318.022.1,微分几何B
325,2.0,214.029.1,国史概论
326,3.0,LAWS130011.01,国际私法
327,3.0,269.028.1,管理决策与计算机方法
328,2.0,JOUR130059.01,广告摄影
329,2.0,LAWS130034.01,证据学
330,3.0,ECON130009.01,资本论
331,2.0,PHAR130032.01,医药元素化学
332,1.0,NDEC110002.01,军事理论
333,4.0,MATH130084.01,数学分析原理
334,3.0,326.015.1,国际贸易会计
335,3.0,372.138.1.02,通信系统实验
336,2.0,372.183.1,专用集成电路设计方法实验
337,1.0,PEDU110078.20,排球
338,0.0,103.002.6,大学英语国家六级
339,3.0,MECH130028.01,飞行力学与飞行控制
340,4.0,111.007.1,留学生专业汉语(一)
341,2.0,POLI130030,美国政治与对外关系
342,2.0,MANA130198.01,实习（一）
343,4.0,PHYS120001.06,大学物理（上）
344,3.0,211.007.1,中国古代文学史(上)
345,4.0,MED130005.05,生理学B
346,3.0,330.001.1,材料化学
